Brand_name,Brand_url,Brand_Introduction,Brand_Price,Brand_Version
amika,https://www.sephora.com/product/polished-perfection-mini-straightening-brush-P423905?icid2=products%20grid:p423905:product,Polished Perfection Mini Straightening Brush,$35.00 ,Limited Edition
Sephora Favorites,https://www.sephora.com/product/give-me-some-nude-lip-P433854?icid2=products%20grid:p433854:product,Give Me Some Nude Lip,$28.00 ,Limited Edition
Grande Cosmetics,https://www.sephora.com/product/grande-lash-md-ornament-P436729?icid2=products%20grid:p436729:product,GrandeLASH? - MD Jumbo Ornament,$99.00 ,Limited Edition
OLEHENRIKSEN,https://www.sephora.com/product/3-little-wonders-P124716?icid2=products%20grid:p124716:product,3 Little Wonders?,$72.00 ,Exclusive
stila,https://www.sephora.com/product/aura-alight-glitter-glow-highlighter-liquid-eyeshadow-set-P435966?icid2=products%20grid:p435966:product,Aura Alight Glitter & Glow Highlighter and Liquid Eyeshadow Set,$45.00 ,Limited Edition
Briogeo,https://www.sephora.com/product/hair-o-scopes-brightest-stars-bestsellers-P435405?icid2=products%20grid:p435405:product,Hair-O-Scopes Brightest Stars Bestsellers,$39.00 ,Limited Edition
stila,https://www.sephora.com/product/3d-dazzle-glitter-glow-liquid-shadow-set-P435968?icid2=products%20grid:p435968:product,3D Dazzle Mini Glitter & Glow Liquid Shadow Set,$25.00 ,Limited Edition
IT Cosmetics,https://www.sephora.com/product/it-s-your-life-changing-skincare-secret-P437241?icid2=products%20grid:p437241:product,IT's Your Life-Changing Skincare Secret,$68.00 ,Limited Edition
Drunk Elephant,https://www.sephora.com/product/out-office-duo-P436101?icid2=products%20grid:p436101:product,Out of Office,$25.00 ,limited Edition
OLEHENRIKSEN,https://www.sephora.com/product/true-giving-truth-serum-P423267?icid2=products%20grid:p423267:product,Truth Serum - Starlight Holiday Edition,$128.00 ,Limited Edition
Kaja,https://www.sephora.com/product/beauty-bento-bounce-shimmer-eyeshadow-trio-P436148?icid2=products%20grid:p436148:product,Beauty Bento Bouncy Shimmer Eyeshadow Trio,$21.00 ,Exclusive
Clarisonic,https://www.sephora.com/product/mia-smart-cleanse-uplift-holiday-gift-set-P436915?icid2=products%20grid:p436915:product,Mia Smart Cleanse & Uplift Holiday Gift Set,$249.00 ,Limited Edition
Herbivore,https://www.sephora.com/product/hydrate-glow-natural-skincare-mini-collection-P432655?icid2=products%20grid:p432655:product,Hydrate + Glow Natural Skincare Mini Collection,$39.00 ,
Saturday Skin,https://www.sephora.com/product/no-bad-days-set-P433147?icid2=products%20grid:p433147:product,No Bad Days Set,$39.00 ,Limited Edition
tarte,https://www.sephora.com/product/rainforest-the-sea-highlighting-eyeshadow-palette-vol-iii-P419718?icid2=products%20grid:p419718:product,Highlighting Eyeshadow Palette Vol. III - Rainforest Of The Sea? Collection,$36.00 ,Limited Edition
FENTY BEAUTY by Rihanna,https://www.sephora.com/product/avalanche-all-over-metallic-powder-set-P09773777?icid2=products%20grid:p09773777:product,Avalanche All-Over Metallic Powder Set,$99.00 ,Limited Edition
tarte,https://www.sephora.com/product/dream-team-liner-trio-P436406?icid2=products%20grid:p436406:product,Tarteist? Dream Team Liner Trio,$17.00 ,Limited Edition
Natasha Denona,https://www.sephora.com/product/mini-star-eyeshadow-palette-P436273?icid2=products%20grid:p436273:product,Mini Star Eyeshadow Palette,$25.00 ,Exclusive
Peter Thomas Roth,https://www.sephora.com/product/get-drenched-P436115?icid2=products%20grid:p436115:product,Get Drenched!,$52.00 ,Limited Edition
CLINIQUE,https://www.sephora.com/product/go-to-glow-set-P436635?icid2=products%20grid:p436635:product,Go-To Glow Set,$39.50 ,Limited Edition
AMOREPACIFIC,https://www.sephora.com/product/12-days-essential-beauty-P437675?icid2=products%20grid:p437675:product,12 Days of Essential Beauty,$65.00 ,Limited Edition
Bite Beauty,https://www.sephora.com/product/four-little-bites-mini-amuse-bouche-lipstick-set-P436398?icid2=products%20grid:p436398:product,Four Little Bites Amuse Bouche Lipstick Set,$25.00 ,Limited Edition
Farmacy,https://www.sephora.com/product/cream-the-crop-P436687?icid2=products%20grid:p436687:product,Cream of the Crop,$42.00 ,Limited Edition
Peter Thomas Roth,https://www.sephora.com/product/you-got-power-anti-aging-kit-P433455?icid2=products%20grid:p433455:product,You Got The Power Anti-Aging Kit,$95.00 ,Limited Edition
Drybar,https://www.sephora.com/product/glitter-gang-P436073?icid2=products%20grid:p436073:product,Glitter Gang,$215.00 ,Limited Edition
FENTY BEAUTY by Rihanna,https://www.sephora.com/product/mini-fairy-bomb-P14741473?icid2=products%20grid:p14741473:product,Mini Fairy Bomb,$20.00 ,Limited Edition
tarte,https://www.sephora.com/product/quench-squad-hydrating-mini-lip-set-P436405?icid2=products%20grid:p436405:product,Quench Squad Hydrating Mini Lip Set - Rainforest of the Sea? Collection,$20.00 ,Limited Edition
